165;PLACE DU 8 MAI 1945;ALLEE DU 8 MAI 1945;4500B;;1;0;7;0;2;1;N
161;PLACE DU GENERAL LECLERC;PLACE DU GENERAL LECLERC;4153Z;;1;0;23;0;5;1;N
162;PLACE DU MOUTIER;PLACE DU MOUTIER;6190N;;1;0;9;0;3;1;N
163;PLACE DU PUITS D'AMOUR;PLACE PUITS D'AMOUR;7289H;;2;0;14;0;2;1;N
164;PLACE DU RATRAIT;PLACE DU RATRAIT;8121M;;1;0;14;0;14;1;N
166;PLACE EDGARD FOURNIER;PLACE EDGAR FOURNIER;3122D;;1;0;10;0;2;1;O
167;PLACE EUGENE SUE;PLACE EUGENE SUE;3190C;;1;0;10;0;9;1;O
168;PLACE HENRI IV;PLACE HENRI IV;4430A;I;1;0;13;0;1;1;N
169;PLACE HENRI IV;PLACE HENRI IV;4430A;P;2;0;12;0;4;1;N
170;PLACE JEAN JAURES;AVENUE JEAN JAURES;4736H;;1;0;10;0;29;1;O
171;PLACE JEAN MASARYK;PLACE JEAN MASARYK;4745T;;1;0;10;0;29;1;O
172;PLACE MARCEL LEGRAS;PLACE MARCEL LEGRAS;SU01E;;0;0;5;0;21;1;N
173;PLACE MARGUERITE NASEAU;PLACE MARGUERITE NASEAU;6112D;;1;0;7;0;3;1;N
174;PONT DE SURESNES;PONT DE SURESNES;8594B;;1;0;10;0;3;1;O
175;PROMENADE DE L'ABBAYE;PROMENADE DE L' ABBAYE;0003N;;1;0;7;0;3;1;N
176;PROMENADE SAINT-LEUFROY;PROMENADE SAINT-LEUFROY;8500Z;;2;0;10;0;3;1;N
177;QUAI GALLIENI;QUAI GALLIENI;4121P;I;1;0;19;0;3;1;O
178;QUAI GALLIENI;QUAI GALLIENI;4121P;I;21;0;25;0;5;1;O
179;QUAI GALLIENI;QUAI GALLIENI;4121P;I;27;0;33;0;17;1;O
180;QUAI GALLIENI;QUAI GALLIENI;4121P;P;0;0;18;0;3;1;O
181;QUAI GALLIENI;QUAI GALLIENI;4121P;P;20;0;24;0;5;1;O
182;QUAI GALLIENI;QUAI GALLIENI;4121P;P;26;0;32;0;17;1;O
183;QUAI LEON BLUM;QUAI LEON BLUM;5129K;;1;0;14;0;6;1;N
184;QUAI MARCEL DASSAULT;QUAI MARCEL DASSAULT;6086A;;2;0;284;0;7;1;N
185;RTE DES FUSILLES DE LA RESISTANCE;ROUTE DES FUSILLES DE LA RESISTANCE;3566L;I;1;0;29;0;20;1;N
186;RTE DES FUSILLES DE LA RESISTANCE;ROUTE DES FUSILLES DE LA RESISTANCE;3566L;I;31;0;71;0;19;1;N
187;RTE DES FUSILLES DE LA RESISTANCE;ROUTE DES FUSILLES DE LA RESISTANCE;3566L;I;73;0;101;0;22;1;N
188;RUE ALBERT CARON;RUE ALBERT CARON;0050P;I;1;0;77;0;28;1;N
189;RUE ALBERT CARON;RUE ALBERT CARON;0050P;P;2;0;12;0;28;1;N
190;RUE ALBERT CARON;RUE ALBERT CARON;0050P;P;14;0;70;0;27;1;N
191;RUE ALEXANDRE DARRACQ;RUE ALEXANDRE DARRACQ;0055V;;1;0;9;0;1;1;N
192;RUE ARTHEME GENTEUR;RUE ARTHEME GENTEUR;0100U;;1;0;43;0;26;1;N
193;RUE BAUDIN;RUE BAUDIN;0620J;;2;0;14;0;1;1;N
194;RUE BEAUSEJOUR;RUE BEAUSEJOUR;0630V;;1;0;30;0;19;1;N
195;RUE BENOIT MALON;RUE BENOIT MALON;0660C;;1;0;35;0;17;1;N
196;RUE BERTHELOT;RUE BERTHELOT;0665H;;1;0;21;0;1;1;N
197;RUE CARNOT;RUE CARNOT;1425J;I;1;0;5;0;1;1;N
198;RUE CARNOT;RUE CARNOT;1425J;I;7;0;39;0;4;1;N
199;RUE CARNOT;RUE CARNOT;1425J;I;41;0;75;0;15;1;N
200;RUE CARNOT;RUE CARNOT;1425J;I;77;0;137;0;12;1;N
201;RUE CARNOT;RUE CARNOT;1425J;P;2;0;12;0;1;1;N
202;RUE CARNOT;RUE CARNOT;1425J;P;14;0;42;0;4;1;N
203;RUE CARNOT;RUE CARNOT;1425J;P;44;0;76;0;15;1;N
204;RUE CARNOT;RUE CARNOT;1425J;P;78;0;132;0;12;1;N
205;RUE CHARLES PEGUY;RUE CHARLES PEGUY;1460X;I;1;0;5;0;3;1;O
206;RUE CHARLES PEGUY;RUE CHARLES PEGUY;1460X;I;7;0;9;0;2;1;O
207;RUE CHARLES PEGUY;RUE CHARLES PEGUY;1460X;P;2;0;6;0;3;1;O
208;RUE CHARLES PEGUY;RUE CHARLES PEGUY;1460X;P;8;0;10;0;2;1;O
209;RUE CHEVREUL;RUE CHEVREUL;1495K;;1;0;21;0;9;1;N
210;RUE CLAUDE BURGOD;RUE CLAUDE BURGOD;1497M;;1;0;46;0;21;1;N
211;RUE CLUSERET;RUE CLUSERET;1520M;I;1;0;47;0;25;1;N
212;RUE CLUSERET;RUE CLUSERET;1520M;I;49;0;55;0;23;1;N
213;RUE CLUSERET;RUE CLUSERET;1520M;P;2;0;10;0;2;1;N
214;RUE CLUSERET;RUE CLUSERET;1520M;P;12;0;18;0;1;1;N
215;RUE CLUSERET;RUE CLUSERET;1520M;P;20;0;44;0;25;1;N
216;RUE CLUSERET;RUE CLUSERET;1520M;P;46;0;50;0;23;1;N
217;RUE CURIE;RUE CURIE;7201M;;1;0;16;0;13;1;N
